,batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
0,Tamim Iqbal,62,46,4,4,134.78,not out,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
1,Mohammad Hafeez,16,19,2,0,84.21,c Hassan Khan b Mahmudullah,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
2,Kamran Akmal,0,3,0,0,0.0,c Asad Shafiq b Hassan Khan,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
3,Eoin Morgan,1,4,0,0,25.0,c Asad Shafiq b Rossouw,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
4,Sohaib Maqsood,30,24,2,1,125.0,not out,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
0,Moeen Ali,29,22,2,1,131.81,c Jordan b Aamer Yamin,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
1,Zeeshan Ashraf,2,8,0,0,25.0,c Jordan b Mohammad Amir,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
2,Shan Masood (c),9,17,0,0,52.94,b Imad Wasim,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
3,Rilee Rossouw,0,1,0,0,0.0,c Walton b Aamer Yamin,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
4,Ravi Bopara,4,2,1,0,200.0,c Walton b Imad Wasim,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
5,Khushdil Shah,8,16,0,0,50.0,c Jordan b Umer Khan,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
6,Shahid Afridi,35,17,1,3,205.88,not out,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
7,Sohail Tanvir,10,18,1,0,55.55,not out,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
0,Shane Watson,15,27,1,0,55.55,b Mohammad Nawaz,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
1,Shane Watson,28,31,4,0,90.32,c Mohammad Hafeez b Wahab Riaz,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
2,Shane Watson,13,14,0,1,92.85,lbw b Imad Wasim,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
3,Shane Watson,19,20,4,0,95.00,b Mohammad Asghar,2016,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
4,Shane Watson,26,13,2,2,200.00,not out,2017,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
5,Shane Watson,7,6,1,0,116.66,c Umar Akmal b Elliott,2017,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
6,Shane Watson,36,27,4,2,133.33,c Hassan Khan b Perera,2017,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
7,Shane Watson,26,14,2,2,185.71,run out (Pollard/ï¿½Sangakkara),2017,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
8,Shane Watson,30,22,1,2,136.36,run out (sub [CJ Jordan]/ï¿½Kamran Akmal),2017,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
