,bowlers,overs,maiden,runs,wickets,economy,zeros,fours,sixes,wides,no_balls,season,stadium,team,opposing_team
0,Anwar Ali,3,1,21,1,7.00,11,4,0,2,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Islamabad United
1,Anwar Ali,4,0,33,2,8.25,7,2,1,4,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
2,Anwar Ali,4,0,38,1,9.50,10,1,2,4,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
3,Anwar Ali,4,0,27,1,6.75,10,2,1,1,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
4,Anwar Ali,2.1,0,10,1,4.61,10,2,0,1,0,2016,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
5,Anwar Ali,2,0,15,1,7.50,6,3,0,0,0,2016,Sharjah Cricket Stadium,Quetta Gladiators,Karachi Kings
6,Anwar Ali,4,0,57,0,14.25,6,3,6,0,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
7,Anwar Ali,4,0,28,1,7.00,13,4,0,3,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
8,Anwar Ali,2.4,0,29,1,10.87,6,3,2,0,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Islamabad United
9,Anwar Ali,1,0,8,1,8.00,2,1,0,0,0,2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
10,Anwar Ali,4,0,37,0,9.25,9,4,1,1,0,2017,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
11,Anwar Ali,4,0,27,0,6.75,13,3,1,2,0,2017,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
12,Anwar Ali,3,0,37,0,12.33,4,2,3,0,1,2017,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
13,Anwar Ali,4,0,30,2,7.50,7,1,1,1,0,2017,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
14,Anwar Ali,4,0,51,2,12.75,6,5,3,0,0,2017,Dubai International Cricket Stadium,Quetta Gladiators,Islamabad United
15,Anwar Ali,4,0,25,1,6.25,13,1,2,0,0,2017,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
16,Anwar Ali,4,0,43,0,10.75,7,2,3,3,0,2017,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
17,Anwar Ali,4,0,32,2,8.00,9,3,1,0,0,2018,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
18,Anwar Ali,2,0,13,1,6.50,5,2,0,0,0,2018,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
19,Anwar Ali,3.4,0,37,0,10.09,10,4,2,3,0,2018,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
20,Anwar Ali,2,0,8,0,4.00,4,0,0,0,0,2018,Sharjah Cricket Stadium,Quetta Gladiators,Multan Sultans
21,Anwar Ali,3,0,24,1,8.00,7,1,1,2,0,2018,Dubai International Cricket Stadium,Quetta Gladiators,Multan Sultans
22,Anwar Ali,3,0,21,2,7.00,6,2,0,1,0,2018,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
23,Anwar Ali,2,0,6,0,3.00,7,0,0,0,0,2018,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
24,Anwar Ali,4,0,24,1,6.00,12,3,0,1,1,2018,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
25,Anwar Ali,3,0,26,0,8.66,9,2,2,0,0,2018,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
26,Anwar Ali,1,0,14,0,14.00,1,3,0,0,0,2018,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
27,Anwar Ali,4,0,27,1,6.75,6,1,1,0,0,2019,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
28,Anwar Ali,3.4,0,40,0,10.90,6,3,3,0,0,2019,Sharjah Cricket Stadium,Quetta Gladiators,Karachi Kings
29,Anwar Ali,2,0,19,0,9.50,1,1,1,0,0,2020,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
30,Anwar Ali,1,0,12,0,12.00,0,0,1,1,0,2020,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
31,Anwar Ali,1,0,19,0,19.00,0,1,2,0,0,2020,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
32,Anwar Ali,3,0,33,0,11.00,2,2,2,0,0,2021,"National Stadium, Karachi",Quetta Gladiators,Lahore Qalandars
33,Anwar Ali,2,0,21,1,10.50,4,2,1,1,0,2022,"National Stadium, Karachi",Multan Sultans,Islamabad United
34,Anwar Ali,3,0,36,0,12.00,3,5,1,1,0,2022,"National Stadium, Karachi",Multan Sultans,Peshawar Zalmi
35,Anwar Ali,2,0,11,0,5.50,7,2,0,0,0,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Peshawar Zalmi
36,Anwar Ali,2,0,11,1,5.50,7,1,0,0,0,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
37,Anwar Ali,4,0,28,1,7.00,9,4,0,0,0,2023,"National Stadium, Karachi",Multan Sultans,Karachi Kings
38,Anwar Ali,3,0,21,2,7.00,6,3,0,0,0,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
39,Anwar Ali,4,0,33,3,8.25,11,4,1,1,0,2023,Rawalpindi Cricket Stadium,Multan Sultans,Islamabad United
40,Anwar Ali,4,0,66,1,16.50,2,7,4,1,0,2023,Rawalpindi Cricket Stadium,Multan Sultans,Peshawar Zalmi
41,Anwar Ali,3,0,48,1,16.00,3,2,5,0,1,2023,Rawalpindi Cricket Stadium,Multan Sultans,Quetta Gladiators
42,Anwar Ali,3,0,13,1,4.33,8,1,0,0,0,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
43,Anwar Ali,4,0,46,1,11.50,6,5,2,1,0,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
44,Anwar Ali,2,0,28,0,14.00,5,3,2,1,0,2024,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
45,Anwar Ali,4,0,36,1,9.00,7,5,0,1,0,2024,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
46,Anwar Ali,1,0,14,0,14.00,2,3,0,1,0,2024,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
0,Zulfiqar Babar,4,0,36,1,9.00,9,2,2,0,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Islamabad United
1,Zulfiqar Babar,4,1,18,0,4.50,14,0,1,0,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
2,Zulfiqar Babar,4,0,15,1,3.75,13,1,0,0,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
3,Zulfiqar Babar,4,0,31,1,7.75,10,4,1,0,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
4,Zulfiqar Babar,4,0,29,2,7.25,9,1,2,0,0,2016,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
5,Zulfiqar Babar,4,0,29,1,7.25,9,3,1,0,0,2016,Sharjah Cricket Stadium,Quetta Gladiators,Karachi Kings
6,Zulfiqar Babar,4,0,21,1,5.25,9,2,0,0,0,2016,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
7,Zulfiqar Babar,4,0,49,1,12.25,5,4,3,1,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
