names,position,batting_style,bowling_style
Asif Ali,Middle order Batter,Batting:Right hand Bat,Bowling:Right arm Offbreak
Ian Bell,Top order Batter,Batting:Right hand Bat,Bowling:Right arm Medium
Cameron Delport,Top order Batter,Batting:Left hand Bat,Bowling:Right arm Medium
Rizwan Hussain,Batter,Batting:Left hand Bat,
Luke Ronchi†,Wicketkeeper Batter,Batting:Right hand Bat,
Sahibzada Farhan,Middle order Batter,Batting:Right hand Bat,
Phil Salt†,Wicketkeeper Batter,Batting:Right hand Bat,Bowling:Right arm Offbreak
Amad Butt,Bowling Allrounder,Batting:Right hand Bat,Bowling:Right arm Fast
Faheem Ashraf,Bowling Allrounder,Batting:Left hand Bat,Bowling:Right arm Medium
Hussain Talat,Allrounder,Batting:Left hand Bat,Bowling:Right arm Medium fast
Samit Patel,Allrounder,Batting:Right hand Bat,Bowling:Slow Left arm Orthodox
Shadab Khan,Allrounder,Batting:Right hand Bat,Bowling:Legbreak
Mohammad Sami(c),Bowler,Batting:Right hand Bat,Bowling:Right arm Fast
Muhammad Musa,Bowler,Batting:Right hand Bat,Bowling:Right arm Fast medium
Wayne Parnell,Bowler,Batting:Left hand Bat,Bowling:Left arm Medium fast
Rumman Raees,Bowler,Batting:Right hand Bat,Bowling:Left arm Medium fast
Waqas Maqsood,Bowler,Batting:Left hand Bat,Bowling:Left arm Fast medium
Zafar Gohar,Bowler,Batting:Left hand Bat,Bowling:Slow Left arm Orthodox
Zahir Khan,Bowler,Batting:Left hand Bat,Bowling:Left arm Wrist spin
Nasir Nawaz,,Batting:Right hand Bat,Bowling:Right arm Medium fast
Colin Ingram,Top order Batter,Batting:Left hand Bat,Bowling:Legbreak
Dawid Malan,Top order Batter,Batting:Left hand Bat,Bowling:Legbreak
Colin Munro,Opening Batter,Batting:Left hand Bat,Bowling:Right arm Medium fast
Saif Badar,Middle order Batter,Batting:Right hand Bat,Bowling:Legbreak Googly
Rassie van der Dussen,Top order Batter,Batting:Right hand Bat,Bowling:Legbreak
Shadab Khan(c),Allrounder,Batting:Right hand Bat,Bowling:Legbreak
Ahmed Safi Abdullah,Bowling Allrounder,Batting:Left hand Bat,Bowling:Slow Left arm Orthodox
Akif Javed,Bowler,Batting:Right hand Bat,Bowling:Left arm Medium fast
Dale Steyn,Bowler,Batting:Right hand Bat,Bowling:Right arm Fast
Azam Khan†,Wicketkeeper Batter,Batting:Right hand Bat,
Alex Hales,Opening Batter,Batting:Right hand Bat,Bowling:Right arm Medium
Rahmanullah Gurbaz†,Wicketkeeper Batter,Batting:Right hand Bat,Bowling:Right arm Medium
Sohaib Maqsood,Middle order Batter,Batting:Right hand Bat,Bowling:Right arm Offbreak
Moeen Ali,Batting Allrounder,Batting:Left hand Bat,Bowling:Right arm Offbreak
Mubasir Khan,Allrounder,Batting:Right hand Bat,Bowling:Right arm Offbreak
Paul Stirling,Batting Allrounder,Batting:Right hand Bat,Bowling:Right arm Offbreak
Zeeshan Zameer,Bowling Allrounder,Batting:Right hand Bat,Bowling:Right arm Fast medium
Abrar Ahmed,Bowler,Batting:Right hand Bat,Bowling:Legbreak Googly
Fazalhaq Farooqi,Bowler,Batting:Right hand Bat,Bowling:Left arm Fast medium
Hasan Ali,Bowler,Batting:Right hand Bat,Bowling:Right arm Medium fast
Mohammad Wasim,Bowler,Batting:Right hand Bat,Bowling:Right arm Fast medium
Rachel Gnanaraj,,Batting:Right hand Bat,Bowling:Right arm Medium
Babar Azam,Batter,Batting:Right hand Bat,Bowling:Right arm Offbreak
Sam Billings†,Wicketkeeper Batter,Batting:Right hand Bat,
Brad Haddin†,Wicketkeeper Batter,Batting:Right hand Bat,
Khalid Latif,Top order Batter,Batting:Right hand Bat,Bowling:Right arm Offbreak
Misbah-ul-Haq,Middle order Batter,Batting:Right hand Bat,Bowling:Legbreak
Sharjeel Khan,Opening Batter,Batting:Left hand Bat,Bowling:Legbreak
Umar Amin,Top order Batter,Batting:Left hand Bat,Bowling:Right arm Medium
Kamran Ghulam,Allrounder,Batting:Right hand Bat,Bowling:Slow Left arm Orthodox
Andre Russell,Allrounder,Batting:Right hand Bat,Bowling:Right arm Fast
Shane Watson,Allrounder,Batting:Right hand Bat,Bowling:Right arm Fast medium
Samuel Badree,Bowler,Batting:Right hand Bat,Bowling:Legbreak
Mohammad Irfan,Bowler,Batting:Right hand Bat,Bowling:Left arm Fast
Mohammad Sami,Bowler,Batting:Right hand Bat,Bowling:Right arm Fast
Imran Khalid,,Batting:Left hand Bat,Bowling:Slow Left arm Orthodox
Iftikhar Ahmed,Middle order Batter,Batting:Right hand Bat,Bowling:Right arm Offbreak
Usman Khawaja,Top order Batter,Batting:Left hand Bat,Bowling:Right arm Medium
Brandon King,Top order Batter,Batting:Right hand Bat,
Muhammad Akhlaq†,Wicketkeeper Batter,Batting:Right hand Bat,Bowling:Right arm Medium fast
Rohail Nazir†,Wicketkeeper Batter,Batting:Right hand Bat,
Janneman Malan,Top order Batter,Batting:Right hand Bat,Bowling:Legbreak
Lewis Gregory,Allrounder,Batting:Right hand Bat,Bowling:Right arm Medium fast
Ali Khan,Bowler,Batting:Right hand Bat,Bowling:Right arm Fast medium
Fawad Ahmed,Bowler,Batting:Right hand Bat,Bowling:Legbreak Googly
Chris Jordan,Bowler,Batting:Right hand Bat,Bowling:Right arm Fast medium
Reece Topley,Bowler,Batting:Right hand Bat,Bowling:Left arm Fast medium
Muhammad Hurraira,Batter,Batting:Right hand Bat,
Danish Aziz,Allrounder,Batting:Left hand Bat,Bowling:Slow Left arm Orthodox
Athar Mahmood,Bowler,Batting:Right hand Bat,Bowling:Right arm Fast medium
Marchant de Lange,Bowler,Batting:Right hand Bat,Bowling:Right arm Fast
Jordan Cox†,Wicketkeeper Batter,Batting:Right hand Bat,
Muhammad Waseem,Opening Batter,Batting:Right hand Bat,Bowling:Right arm Medium
Salman Agha,Allrounder,Batting:Right hand Bat,Bowling:Right arm Offbreak
