batsman,total_runs,total_balls,fours,sixes,strike_rate,match_captain,wicket_type,dismissed_by,season,venue,team_name,opponent_team
Tamim Iqbal,62,46,4,4,134.78,0,not out,not out,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Mohammad Hafeez,16,19,2,0,84.21,0,catch,Mahmudullah,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal,0,3,0,0,0.0,0,catch,Hassan Khan,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Eoin Morgan,1,4,0,0,25.0,0,catch,Rossouw,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Sohaib Maqsood,30,24,2,1,125.0,0,not out,not out,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Moeen Ali,29,22,2,1,131.81,0,catch,Aamer Yamin,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
Zeeshan Ashraf,2,8,0,0,25.0,0,catch,Mohammad Amir,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
Shan Masood,9,17,0,0,52.94,1,bowled,Imad Wasim,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
Rilee Rossouw,0,1,0,0,0.0,0,catch,Aamer Yamin,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
Ravi Bopara,4,2,1,0,200.0,0,catch,Imad Wasim,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
Khushdil Shah,8,16,0,0,50.0,0,catch,Umer Khan,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
Shahid Afridi,35,17,1,3,205.88,0,not out,not out,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
Sohail Tanvir,10,18,1,0,55.55,0,not out,not out,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
Shane Watson,15,27,1,0,55.55,0,bowled,Mohammad Nawaz,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Shane Watson,28,31,4,0,90.32,0,catch,Wahab Riaz,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Shane Watson,13,14,0,1,92.85,0,lbw,Imad Wasim,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Shane Watson,19,20,4,0,95.0,0,bowled,Mohammad Asghar,2016,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Shane Watson,26,13,2,2,200.0,0,not out,not out,2017,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Shane Watson,7,6,1,0,116.66,0,catch,Elliott,2017,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
Shane Watson,36,27,4,2,133.33,0,catch,Perera,2017,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
Shane Watson,26,14,2,2,185.71,0,run out,run out,2017,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Shane Watson,30,22,1,2,136.36,0,run out,run out,2017,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Shane Watson,7,9,0,0,77.77,0,lbw,Narine,2017,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
Shane Watson,29,16,2,2,181.25,0,lbw,Anwar Ali,2017,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Shane Watson,2,7,0,0,28.57,0,catch,Sohail Khan,2017,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Shane Watson,8,9,1,0,88.88,0,bowled,Imad Wasim,2017,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Shane Watson,1,6,0,0,16.66,0,run out,run out,2018,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
Shane Watson,66,42,5,5,157.14,0,bowled,Narine,2018,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Shane Watson,13,11,1,1,118.18,0,catch,Finn,2018,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
Shane Watson,47,32,1,5,146.87,0,bowled,Khalid Usman,2018,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Shane Watson,19,17,2,1,111.76,0,catch,Junaid Khan,2018,Sharjah Cricket Stadium,Quetta Gladiators,Multan Sultans
Shane Watson,26,26,5,0,100.0,0,catch,Umar Gul,2018,Dubai International Cricket Stadium,Quetta Gladiators,Multan Sultans
Shane Watson,90,58,5,7,155.17,0,not out,not out,2018,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
Shane Watson,37,25,6,1,148.0,0,catch,Umaid Asif,2018,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Shane Watson,12,13,0,1,92.3,0,bowled,Shaheen Shah Afridi,2018,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Shane Watson,8,6,0,1,133.33,0,catch,Patel,2018,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
Shane Watson,19,15,2,1,126.66,0,catch,Umaid Asif,2019,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Shane Watson,81,55,6,4,147.27,0,not out,not out,2019,Dubai International Cricket Stadium,Quetta Gladiators,Islamabad United
Shane Watson,61,40,11,0,152.5,0,catch,Shahid Afridi,2019,Sharjah Cricket Stadium,Quetta Gladiators,Multan Sultans
Shane Watson,0,3,0,0,0.0,0,catch,Rahat Ali,2019,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Shane Watson,25,24,2,2,104.16,0,catch,Umer Khan,2019,Sharjah Cricket Stadium,Quetta Gladiators,Karachi Kings
Shane Watson,7,7,1,0,100.0,0,lbw,Lamichhane,2019,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Shane Watson,33,25,6,1,132.0,0,bowled,Shahid Afridi,2019,Dubai International Cricket Stadium,Quetta Gladiators,Multan Sultans
Shane Watson,91,55,6,6,165.45,0,not out,not out,2019,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Peshawar Zalmi
Shane Watson,15,11,2,1,136.36,0,catch,Patel,2019,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Islamabad United
Shane Watson,20,15,1,1,133.33,0,catch,Umer Khan,2019,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Shane Watson,71,43,5,6,165.11,0,bowled,Wahab Riaz,2019,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
Shane Watson,7,6,1,0,116.66,0,run out,run out,2019,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
Shane Watson,15,12,2,1,125.0,0,run out,run out,2020,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
Shane Watson,8,10,1,0,80.0,0,catch,Wahab Riaz,2020,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
Shane Watson,27,20,2,2,135.0,0,run out,run out,2020,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Shane Watson,9,8,2,0,112.5,0,catch,Faheem Ashraf,2020,Rawalpindi Cricket Stadium,Quetta Gladiators,Islamabad United
Shane Watson,80,41,7,7,195.12,0,catch,Imran Tahir,2020,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
Shane Watson,23,17,1,2,135.29,0,catch,Dilbar Hussain,2020,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Shane Watson,19,14,4,0,135.71,0,catch,Hasan Ali,2020,Rawalpindi Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Shane Watson,0,1,0,0,0.0,0,lbw,Shaheen Shah Afridi,2020,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Shane Watson,66,34,7,4,194.11,0,catch,Arshad Iqbal,2020,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Sharjeel Khan,10,11,0,1,90.9,0,catch,Zulfiqar Babar,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Sharjeel Khan,8,3,2,0,266.66,0,bowled,Tait,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Sharjeel Khan,28,27,3,0,103.7,0,catch,Mohammad Amir,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Sharjeel Khan,79,43,5,7,183.72,0,not out,not out,2016,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
Sharjeel Khan,2,3,0,0,66.66,0,catch,Zulfiqar Babar,2016,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
Sharjeel Khan,28,22,2,2,127.27,0,catch,Tait,2016,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Sharjeel Khan,1,3,0,0,33.33,0,catch,Sohail Khan,2016,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Sharjeel Khan,5,7,0,0,71.42,0,catch,Zia-ul-Haq,2016,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
Sharjeel Khan,9,9,2,0,100.0,0,catch,Sohail Khan,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Sharjeel Khan,117,62,12,8,188.7,0,run out,run out,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Sharjeel Khan,12,11,1,1,109.09,0,bowled,McCullum,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Sharjeel Khan,1,4,0,0,25.0,0,lbw,Hasan Ali,2017,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Sharjeel Khan,19,11,1,2,172.72,0,catch,Hasan Ali,2020,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Sharjeel Khan,6,12,0,0,50.0,0,catch,Mohammad Nawaz,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Sharjeel Khan,16,9,2,1,177.77,0,lbw,Ali,2020,Multan Cricket Stadium,Karachi Kings,Multan Sultans
Sharjeel Khan,38,20,3,4,190.0,0,catch,Rumman Raees,2020,Rawalpindi Cricket Stadium,Karachi Kings,Islamabad United
Sharjeel Khan,4,3,1,0,133.33,0,lbw,Hasan Ali,2020,Rawalpindi Cricket Stadium,Karachi Kings,Peshawar Zalmi
Sharjeel Khan,5,8,1,0,62.5,0,run out,run out,2020,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
Sharjeel Khan,74,59,5,5,125.42,0,not out,not out,2020,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Sharjeel Khan,37,14,3,4,264.28,0,lbw,Akif Javed,2020,"National Stadium, Karachi",Karachi Kings,Islamabad United
Sharjeel Khan,0,2,0,0,0.0,0,bowled,Naseem Shah,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Sharjeel Khan,4,7,0,0,57.14,0,catch,Sohail Tanvir,2020,"National Stadium, Karachi",Karachi Kings,Multan Sultans
Sharjeel Khan,13,12,2,0,108.33,0,catch,Patel,2020,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Sharjeel Khan,4,4,1,0,100.0,0,lbw,Mohammad Hasnain,2021,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Sharjeel Khan,105,59,9,8,177.96,0,lbw,Hasan Ali,2021,"National Stadium, Karachi",Karachi Kings,Islamabad United
Sharjeel Khan,27,14,4,1,192.85,0,catch,Shahnawaz Dahani,2021,"National Stadium, Karachi",Karachi Kings,Multan Sultans
Sharjeel Khan,64,39,5,6,164.1,0,catch,Wiese,2021,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Sharjeel Khan,0,1,0,0,0.0,0,catch,Mohammad Imran,2021,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
