bowler,overs,total_balls,maidens,runs_conceded,wickets_taken,economy_rate,dot_balls,fours_conceded,sixes_conceded,wide_balls,no_balls,season,venue,team_name,opponent_name
Anwar Ali,3.0,18,1,21,1,7.0,11,4,0,2,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Islamabad United
Anwar Ali,4.0,24,0,33,2,8.25,7,2,1,4,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
Anwar Ali,4.0,24,0,38,1,9.5,10,1,2,4,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Anwar Ali,4.0,24,0,27,1,6.75,10,2,1,1,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Anwar Ali,2.1,13,0,10,1,4.61,10,2,0,1,0,2016,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
Anwar Ali,2.0,12,0,15,1,7.5,6,3,0,0,0,2016,Sharjah Cricket Stadium,Quetta Gladiators,Karachi Kings
Anwar Ali,4.0,24,0,57,0,14.25,6,3,6,0,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Anwar Ali,4.0,24,0,28,1,7.0,13,4,0,3,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Anwar Ali,2.4,16,0,29,1,10.87,6,3,2,0,0,2016,Dubai International Cricket Stadium,Quetta Gladiators,Islamabad United
Anwar Ali,1.0,6,0,8,1,8.0,2,1,0,0,0,2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Anwar Ali,4.0,24,0,37,0,9.25,9,4,1,1,0,2017,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
Anwar Ali,4.0,24,0,27,0,6.75,13,3,1,2,0,2017,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
Anwar Ali,3.0,18,0,37,0,12.33,4,2,3,0,1,2017,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Anwar Ali,4.0,24,0,30,2,7.5,7,1,1,1,0,2017,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
Anwar Ali,4.0,24,0,51,2,12.75,6,5,3,0,0,2017,Dubai International Cricket Stadium,Quetta Gladiators,Islamabad United
Anwar Ali,4.0,24,0,25,1,6.25,13,1,2,0,0,2017,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Anwar Ali,4.0,24,0,43,0,10.75,7,2,3,3,0,2017,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
Anwar Ali,4.0,24,0,32,2,8.0,9,3,1,0,0,2018,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
Anwar Ali,2.0,12,0,13,1,6.5,5,2,0,0,0,2018,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
Anwar Ali,3.4,22,0,37,0,10.09,10,4,2,3,0,2018,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Anwar Ali,2.0,12,0,8,0,4.0,4,0,0,0,0,2018,Sharjah Cricket Stadium,Quetta Gladiators,Multan Sultans
Anwar Ali,3.0,18,0,24,1,8.0,7,1,1,2,0,2018,Dubai International Cricket Stadium,Quetta Gladiators,Multan Sultans
Anwar Ali,3.0,18,0,21,2,7.0,6,2,0,1,0,2018,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
Anwar Ali,2.0,12,0,6,0,3.0,7,0,0,0,0,2018,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Anwar Ali,4.0,24,0,24,1,6.0,12,3,0,1,1,2018,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Anwar Ali,3.0,18,0,26,0,8.66,9,2,2,0,0,2018,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
Anwar Ali,1.0,6,0,14,0,14.0,1,3,0,0,0,2018,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
Anwar Ali,4.0,24,0,27,1,6.75,6,1,1,0,0,2019,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
