names,playing_role,batting_style,bowling_style
Asif Ali,Middle order Batter,Right hand Bat,Right arm Offbreak
Ian Bell,Top order Batter,Right hand Bat,Right arm Medium
Cameron Delport,Top order Batter,Left hand Bat,Right arm Medium
Rizwan Hussain,Batter,Left hand Bat,
Luke Ronchi,Wicketkeeper Batter,Right hand Bat,
Sahibzada Farhan,Middle order Batter,Right hand Bat,
Phil Salt,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Amad Butt,Allrounder,Right hand Bat,Right arm Fast
Faheem Ashraf,Allrounder,Left hand Bat,Right arm Medium
Hussain Talat,Allrounder,Left hand Bat,Right arm Medium fast
Samit Patel,Allrounder,Right hand Bat,Slow Left arm Orthodox
Shadab Khan,Allrounder,Right hand Bat,Legbreak
Mohammad Sami,Bowler,Right hand Bat,Right arm Fast
Muhammad Musa,Bowler,Right hand Bat,Right arm Fast medium
Wayne Parnell,Bowler,Left hand Bat,Left arm Medium fast
Rumman Raees,Bowler,Right hand Bat,Left arm Medium fast
Waqas Maqsood,Bowler,Left hand Bat,Left arm Fast medium
Zafar Gohar,Bowler,Left hand Bat,Slow Left arm Orthodox
Zahir Khan,Bowler,Left hand Bat,Left arm Wrist spin
Nasir Nawaz,Batter,Right hand Bat,Right arm Medium fast
Colin Ingram,Top order Batter,Left hand Bat,Legbreak
Dawid Malan,Top order Batter,Left hand Bat,Legbreak
Colin Munro,Opening Batter,Left hand Bat,Right arm Medium fast
Saif Badar,Middle order Batter,Right hand Bat,Legbreak Googly
Rassie van der Dussen,Top order Batter,Right hand Bat,Legbreak
Shadab Khan,Allrounder,Right hand Bat,Legbreak
Ahmed Safi Abdullah,Allrounder,Left hand Bat,Slow Left arm Orthodox
Akif Javed,Bowler,Right hand Bat,Left arm Medium fast
Dale Steyn,Bowler,Right hand Bat,Right arm Fast
Azam Khan,Wicketkeeper Batter,Right hand Bat,
Alex Hales,Opening Batter,Right hand Bat,Right arm Medium
Rahmanullah Gurbaz,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Sohaib Maqsood,Middle order Batter,Right hand Bat,Right arm Offbreak
Moeen Ali,Allrounder,Left hand Bat,Right arm Offbreak
Mubasir Khan,Allrounder,Right hand Bat,Right arm Offbreak
Paul Stirling,Allrounder,Right hand Bat,Right arm Offbreak
Zeeshan Zameer,Allrounder,Right hand Bat,Right arm Fast medium
Abrar Ahmed,Bowler,Right hand Bat,Legbreak Googly
Fazalhaq Farooqi,Bowler,Right hand Bat,Left arm Fast medium
Hasan Ali,Bowler,Right hand Bat,Right arm Medium fast
Mohammad Wasim,Bowler,Right hand Bat,Right arm Fast medium
Rachel Gnanaraj,Batter,Right hand Bat,Right arm Medium
Babar Azam,Batter,Right hand Bat,Right arm Offbreak
Sam Billings,Wicketkeeper Batter,Right hand Bat,
Brad Haddin,Wicketkeeper Batter,Right hand Bat,
Khalid Latif,Top order Batter,Right hand Bat,Right arm Offbreak
Misbah-ul-Haq,Middle order Batter,Right hand Bat,Legbreak
Sharjeel Khan,Opening Batter,Left hand Bat,Legbreak
Umar Amin,Top order Batter,Left hand Bat,Right arm Medium
Kamran Ghulam,Allrounder,Right hand Bat,Slow Left arm Orthodox
Andre Russell,Allrounder,Right hand Bat,Right arm Fast
Shane Watson,Allrounder,Right hand Bat,Right arm Fast medium
Samuel Badree,Bowler,Right hand Bat,Legbreak
Mohammad Irfan,Bowler,Right hand Bat,Left arm Fast
Mohammad Sami,Bowler,Right hand Bat,Right arm Fast
Imran Khalid,Bowler,Left hand Bat,Slow Left arm Orthodox
Iftikhar Ahmed,Middle order Batter,Right hand Bat,Right arm Offbreak
Usman Khawaja,Top order Batter,Left hand Bat,Right arm Medium
Brandon King,Top order Batter,Right hand Bat,
Muhammad Akhlaq,Wicketkeeper Batter,Right hand Bat,Right arm Medium fast
Rohail Nazir,Wicketkeeper Batter,Right hand Bat,
Janneman Malan,Top order Batter,Right hand Bat,Legbreak
Lewis Gregory,Allrounder,Right hand Bat,Right arm Medium fast
Ali Khan,Bowler,Right hand Bat,Right arm Fast medium
Fawad Ahmed,Bowler,Right hand Bat,Legbreak Googly
Chris Jordan,Bowler,Right hand Bat,Right arm Fast medium
Reece Topley,Bowler,Right hand Bat,Left arm Fast medium
Muhammad Hurraira,Batter,Right hand Bat,
Danish Aziz,Allrounder,Left hand Bat,Slow Left arm Orthodox
